"%s","%s"
"-- Please Select --","-- Hãy chọn lựa --"
"Actions","Thao tác"
"Add Layout Update","Add Layout Update"
"Add New Widget Instance","Add New Widget Instance"
"All","Tất cả"
"All Pages","Tất cả các trang"
"All Product Types","Tất cả các loại sản phẩm"
"An error occurred during saving a widget: %s","An error occurred during saving a widget: %s"
"Anchor Categories","Anchor Categories"
"Apply","Áp dụng"
"Assign to Store Views","Assign to Store Views"
"Big Image","Big Image"
"Block Reference","Block Reference"
"CMS","CMS"
"Categories","Categories"
"Choose...","Chọn..."
"Close","Đóng"
"Continue","Tiếp tục"
"Default Template","Default Template"
"Delete","Delete"
"Design Package/Theme","Design Package/Theme"
"Error occurs during loading chooser.","Error occurs during loading chooser."
"Export to:","Export to:"
"Frontend Properties","Frontend Properties"
"Generic Pages","Generic Pages"
"Go to Next page","Đi tới trang tiếp"
"Go to Previous page","Đi tới trang trước"
"Images","Images"
"Insert Widget","Insert Widget"
"Insert Widget...","Insert Widget..."
"Layout Updates","Layout Updates"
"Manage Widget Instances","Manage Widget Instances"
"New Instance","New Instance"
"New Widget Instance","New Widget Instance"
"Next page","Trang tiếp"
"Non-Anchor Categories","Non-Anchor Categories"
"Not Selected","Chưa chọn"
"Open Chooser","Open Chooser"
"Page","Trang"
"Please Select Block Reference First","Please Select Block Reference First"
"Previous page","Trang trước"
"Products","Products"
"Remove Layout Update","Remove Layout Update"
"Save and Continue Edit","Save and Continue Edit"
"Select All","Chọn tất cả"
"Select Visible","Chọn những cái nhìn thấy"
"Settings","Thiết lập"
"Sort Order","Sắp xếp"
"Sort Order of widget instances in the same block reference","Sort Order of widget instances in the same block reference"
"Specific %s","Specific %s"
"Specified Page","Specified Page"
"Template","Template"
"The information in this tab has been changed.","The information in this tab has been changed."
"The widget instance has been deleted.","The widget instance has been deleted."
"The widget instance has been saved.","The widget instance has been saved."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
"Thumbnail","Thumbnail"
"Total %d records found","Tổng số %d bản ghi đc tìm thấy"
"Type","Type"
"Unselect All","Bỏ chọn tất cả"
"Unselect Visible","Bỏ chọn nhìn thấy"
"View","Xem"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Insertion","Widget Insertion"
"Widget Instance","Widget Instance"
"Widget Instance Title","Widget Instance Title"
"Widget Options","Widget Options"
"Widget Type","Widget Type"
"Widget Type is not specified","Widget Type is not specified"
"Widget instance is not full complete to create.","Widget instance is not full complete to create."
"Widgets","Widgets"
"Wrong widget instance specified.","Wrong widget instance specified."
"items selected","món nào đc chọn"
"of %s pages","của %s trang"
"per page","mỗi trang"
